keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Argentina',en,Argentina,#2F9F4F,#2F9F4F,2,2.247468687254888e-05
'Kampala',en,Uganda,#008221,#008221,2,2.340651982524037e-05
'Uganda',en,Uganda,#008221,#008221,2,2.340651982524037e-05
'Algeria',en,Algeria,#9104F9,#9104F9,2,2.3680729396776756e-05
'Algiers',en,Algeria,#9104F9,#9104F9,2,2.3680729396776756e-05
'Khartoum',en,Sudan,#E419A0,#E419A0,2,2.392256762449358e-05
'Sudan',en,Sudan,#E419A0,#E419A0,2,2.392256762449358e-05
'Iraq',en,Iraq,#935682,#935682,2,2.6018900129053746e-05
'Baghdad',en,Iraq,#935682,#935682,2,2.6018900129053746e-05
'Poland',en,Poland,#84F456,#84F456,2,2.6330653820677927e-05
'Warsaw',en,Poland,#84F456,#84F456,2,2.6330653820677927e-05
'Afghanistan',en,Afghanistan,#C57D32,#C57D32,2,2.6901689872692056e-05
'Kabul',en,Afghanistan,#C57D32,#C57D32,2,2.6901689872692056e-05
'Ottawa',en,Canada,#F8879F,#F8879F,2,2.6984103340912628e-05
'Canada',en,Canada,#F8879F,#F8879F,2,2.6984103340912628e-05
'Morocco',en,Morocco,#AFEAE7,#AFEAE7,2,2.7755312935879844e-05
'Rabat',en,Morocco,#AFEAE7,#AFEAE7,2,2.7755312935879844e-05
'Saudi Arabia',en,Saudi Arabia,#AE5CF6,#AE5CF6,2,2.9673637172189026e-05
'Riyadh',en,Saudi Arabia,#AE5CF6,#AE5CF6,2,2.9673637172189026e-05
'Tashkent',en,Uzbekistan,#1889BB,#1889BB,2,3.034404073384028e-05
'Uzbekistan',en,Uzbekistan,#1889BB,#1889BB,2,3.034404073384028e-05
'Lima',en,Peru,#9AE423,#9AE423,2,3.126049571143511e-05
'Peru',en,Peru,#9AE423,#9AE423,2,3.126049571143511e-05
'Kuala Lumpur',en,Malaysia,#9CA762,#9CA762,2,3.171724960064018e-05
'Malaysia',en,Malaysia,#9CA762,#9CA762,2,3.171724960064018e-05
'Luanda',en,Angola,#514011,#514011,2,3.245724520689254e-05
'Angola',en,Angola,#514011,#514011,2,3.245724520689254e-05
'Ghana',en,Ghana,#C49D29,#C49D29,2,3.3594126779128154e-05
'Accra',en,Ghana,#C49D29,#C49D29,2,3.3594126779128154e-05
'Mozambique',en,Mozambique,#97E351,#97E351,2,3.39029457659323e-05
'Maputo',en,Mozambique,#97E351,#97E351,2,3.39029457659323e-05
'Venezuela',en,Venezuela,#D52630,#D52630,2,3.463779860163743e-05
'Caracas',en,Venezuela,#D52630,#D52630,2,3.463779860163743e-05
'Yemen',en,Yemen,#E810E2,#E810E2,2,3.5089335870105175e-05
'Sanaa',en,Yemen,#E810E2,#E810E2,2,3.5089335870105175e-05
'Nepal',en,Nepal,#4E8079,#4E8079,2,3.5602555992940865e-05
'Kathmandu',en,Nepal,#4E8079,#4E8079,2,3.5602555992940865e-05
'Madagascar',en,Madagascar,#03FD17,#03FD17,2,3.807729752320888e-05
'Antananarivo',en,Madagascar,#03FD17,#03FD17,2,3.807729752320888e-05
'North Korea',en,North Korea,#AE4FD7,#AE4FD7,2,3.9139220516591525e-05
'Pyongyang',en,North Korea,#AE4FD7,#AE4FD7,2,3.9139220516591525e-05
'Cameroon',en,Cameroon,#BA469E,#BA469E,2,3.965698767821702e-05
'Yaounde',en,Cameroon,#BA469E,#BA469E,2,3.965698767821702e-05
'Yamoussoukro',en,Ivory Coast,#32BF39,#32BF39,2,3.988953948284568e-05
'Ivory Coast',en,Ivory Coast,#32BF39,#32BF39,2,3.988953948284568e-05
'Canberra',en,Australia,#FC6F14,#FC6F14,2,4.0012213327996235e-05
'Australia',en,Australia,#FC6F14,#FC6F14,2,4.0012213327996235e-05
'Taiwan',en,Taiwan,#500564,#500564,2,4.264058291041337e-05
'Taipei',en,Taiwan,#500564,#500564,2,4.264058291041337e-05
'Niamey',en,Niger,#7ECED0,#7ECED0,2,4.455742623473529e-05
'Niger',en,Niger,#7ECED0,#7ECED0,2,4.455742623473529e-05
'Sri Lanka',en,Sri Lanka,#9E9F20,#9E9F20,2,4.6146746654360866e-05
'Colombo',en,Sri Lanka,#9E9F20,#9E9F20,2,4.6146746654360866e-05
'Ouagadougou',en,Burkina Faso,#A9E35E,#A9E35E,2,5.0628976431452034e-05
'Burkina Faso',en,Burkina Faso,#A9E35E,#A9E35E,2,5.0628976431452034e-05
'Romania',en,Romania,#53B033,#53B033,2,5.135068740084182e-05
'Bucharest',en,Romania,#53B033,#53B033,2,5.135068740084182e-05
'Mali',en,Mali,#CF9866,#CF9866,2,5.2417247580812984e-05
'Bamako',en,Mali,#CF9866,#CF9866,2,5.2417247580812984e-05
'Chile',en,Chile,#528587,#528587,2,5.339267751463493e-05
'Santiago',en,Chile,#528587,#528587,2,5.339267751463493e-05
'Kazakhstan',en,Kazakhstan,#89FD17,#89FD17,2,5.471507426011951e-05
'Nur-Sultan',en,Kazakhstan,#89FD17,#89FD17,2,5.471507426011951e-05
'Malawi',en,Malawi,#5B3C8B,#5B3C8B,2,5.693545267584956e-05
'Lilongwe',en,Malawi,#5B3C8B,#5B3C8B,2,5.693545267584956e-05
'Lusaka',en,Zambia,#157478,#157478,2,5.7630835539921975e-05
'Zambia',en,Zambia,#157478,#157478,2,5.7630835539921975e-05
'Guatemala',en,Guatemala,#718E5D,#718E5D,2,5.797838531008609e-05
'Guatemala City',en,Guatemala,#718E5D,#718E5D,2,5.797838531008609e-05
'The Netherlands',en,The Netherlands,#54BEEC,#54BEEC,2,5.8034879775233235e-05
'Amsterdam',en,The Netherlands,#54BEEC,#54BEEC,2,5.8034879775233235e-05
'Ecuador',en,Ecuador,#95365B,#95365B,2,5.853307794961203e-05
'Quito',en,Ecuador,#95365B,#95365B,2,5.853307794961203e-05
'Syria',en,Syria,#D61C4D,#D61C4D,2,5.914960727913995e-05
'Damascus',en,Syria,#D61C4D,#D61C4D,2,5.914960727913995e-05
'Zimbabwe',en,Zimbabwe,#D8D080,#D8D080,2,5.9282413652645014e-05
'Harare',en,Zimbabwe,#D8D080,#D8D080,2,5.9282413652645014e-05
'Cambodia',en,Cambodia,#8B7109,#8B7109,2,6.153922651838503e-05
'Phnom Penh',en,Cambodia,#8B7109,#8B7109,2,6.153922651838503e-05
'Dakar',en,Senegal,#EC7DF1,#EC7DF1,2,6.30741322891621e-05
'Senegal',en,Senegal,#EC7DF1,#EC7DF1,2,6.30741322891621e-05
'N'Djamena',en,Chad,#533A22,#533A22,2,6.460886985454153e-05
'Chad',en,Chad,#533A22,#533A22,2,6.460886985454153e-05
'Mogadishu',en,Somalia,#D9BD6F,#D9BD6F,2,6.663044635602753e-05
'Somalia',en,Somalia,#D9BD6F,#D9BD6F,2,6.663044635602753e-05
'Guinea',en,Guinea,#96C4D9,#96C4D9,2,8.055214954216574e-05
'Conakry',en,Guinea,#96C4D9,#96C4D9,2,8.055214954216574e-05
'Kigali',en,Rwanda,#CEB8B3,#CEB8B3,2,8.12879985829876e-05
'Rwanda',en,Rwanda,#CEB8B3,#CEB8B3,2,8.12879985829876e-05
'Tunis',en,Tunisia,#E6BBDA,#E6BBDA,2,8.646626553236761e-05
'Tunisia',en,Tunisia,#E6BBDA,#E6BBDA,2,8.646626553236761e-05
'Benin',en,Benin,#B17470,#B17470,2,8.706972752747746e-05
'Porto-Novo',en,Benin,#B17470,#B17470,2,8.706972752747746e-05
'Brussels',en,Belgium,#FB1ACA,#FB1ACA,2,8.754982022519915e-05
'Belgium',en,Belgium,#FB1ACA,#FB1ACA,2,8.754982022519915e-05
'Sucre',en,Bolivia,#EE263A,#EE263A,2,8.808134347302271e-05
'Bolivia',en,Bolivia,#EE263A,#EE263A,2,8.808134347302271e-05
'Cuba',en,Cuba,#545E91,#545E91,2,8.819790339471966e-05
'Havana',en,Cuba,#545E91,#545E91,2,8.819790339471966e-05
'Burundi',en,Burundi,#690C3C,#690C3C,2,8.948243182467742e-05
'Gitega',en,Burundi,#690C3C,#690C3C,2,8.948243182467742e-05
'Port-au-Prince',en,Haiti,#265451,#265451,2,8.990238039926726e-05
'Haiti',en,Haiti,#265451,#265451,2,8.990238039926726e-05
'Serbia and Montenegro',en,Serbia and Montenegro,#B4BFE2,#B4BFE2,2,9.234313786599625e-05
'Belgrade',en,Serbia and Montenegro,#B4BFE2,#B4BFE2,2,9.234313786599625e-05
'Athens',en,Greece,#000A9E,#000A9E,2,9.321690417712405e-05
'Greece',en,Greece,#000A9E,#000A9E,2,9.321690417712405e-05
'Santo Domingo',en,Dominican Republic,#74C090,#74C090,2,9.409847311112606e-05
'Dominican Republic',en,Dominican Republic,#74C090,#74C090,2,9.409847311112606e-05
'Czechia',en,Czechia,#945FE9,#945FE9,2,9.411149106011418e-05
'Prague',en,Czechia,#945FE9,#945FE9,2,9.411149106011418e-05
'Portugal',en,Portugal,#C80A4B,#C80A4B,2,9.725959422130176e-05
'Lisbon',en,Portugal,#C80A4B,#C80A4B,2,9.725959422130176e-05
'Azerbaijan',en,Azerbaijan,#11A477,#11A477,2,9.780046748623458e-05
'Baku',en,Azerbaijan,#11A477,#11A477,2,9.780046748623458e-05
'Stockholm',en,Sweden,#98B8A2,#98B8A2,2,9.820119952765223e-05
'Sweden',en,Sweden,#98B8A2,#98B8A2,2,9.820119952765223e-05
'Amman',en,Jordan,#C1B2F9,#C1B2F9,2,0.00010044183358174273
'Jordan',en,Jordan,#C1B2F9,#C1B2F9,2,0.00010044183358174273
'Hungary',en,Hungary,#A932F6,#A932F6,2,0.00010236687571688803
'Budapest',en,Hungary,#A932F6,#A932F6,2,0.00010236687571688803
'United Arab Emirates',en,United Arab Emirates,#63EF16,#63EF16,2,0.0001038318198634217
'Abu Dhabi',en,United Arab Emirates,#63EF16,#63EF16,2,0.0001038318198634217
'Honduras',en,Honduras,#5FBA80,#5FBA80,2,0.00010430223784623388
'Tegucigalpa',en,Honduras,#5FBA80,#5FBA80,2,0.00010430223784623388
'Minsk',en,Belarus,#BF7BD4,#BF7BD4,2,0.00010542533535272049
'Belarus',en,Belarus,#BF7BD4,#BF7BD4,2,0.00010542533535272049
'Dushanbe',en,Tajikistan,#F51EC9,#F51EC9,2,0.0001098800033447473
'Tajikistan',en,Tajikistan,#F51EC9,#F51EC9,2,0.0001098800033447473
'Israel',en,Israel,#F5BBB6,#F5BBB6,2,0.00011256444314369977
'Jerusalem',en,Israel,#F5BBB6,#F5BBB6,2,0.00011256444314369977
'Austria',en,Austria,#EA5549,#EA5549,2,0.00011303219371638211
'Vienna',en,Austria,#EA5549,#EA5549,2,0.00011303219371638211
'Papua New Guinea',en,Papua New Guinea,#2B75D2,#2B75D2,2,0.00011619373492676773
'Port Moresby',en,Papua New Guinea,#2B75D2,#2B75D2,2,0.00011619373492676773
'Switzerland',en,Switzerland,#0C616F,#0C616F,2,0.00011741853472706003
'Bern',en,Switzerland,#0C616F,#0C616F,2,0.00011741853472706003
'Juba',en,South Sudan,#81685B,#81685B,2,0.00012105819388438216
'South Sudan',en,South Sudan,#81685B,#81685B,2,0.00012105819388438216
'Lome',en,Togo,#A41FFE,#A41FFE,2,0.0001267572676913217
'Togo',en,Togo,#A41FFE,#A41FFE,2,0.0001267572676913217
'Freetown',en,Sierra Leone,#D7FDF4,#D7FDF4,2,0.0001307163228348083
'Sierra Leone',en,Sierra Leone,#D7FDF4,#D7FDF4,2,0.0001307163228348083
'Hong Kong',en,Hong Kong,#607A66,#607A66,2,0.00013520683129810996
'Hong Kong',en,Hong Kong,#607A66,#607A66,2,0.00013520683129810996
'Vientiane',en,Laos,#7436D2,#7436D2,2,0.00014161283136871492
'Laos',en,Laos,#7436D2,#7436D2,2,0.00014161283136871492
'Bulgaria',en,Bulgaria,#E2E5BE,#E2E5BE,2,0.00014285634694320988
'Sofia',en,Bulgaria,#E2E5BE,#E2E5BE,2,0.00014285634694320988
'Serbia',en,Serbia,#CB00F4,#CB00F4,2,0.00014322371372214944
'Belgrade',en,Serbia,#CB00F4,#CB00F4,2,0.00014322371372214944
'Paraguay',en,Paraguay,#46757A,#46757A,2,0.00014375931470509716
'Asuncion',en,Paraguay,#46757A,#46757A,2,0.00014375931470509716
'Beirut',en,Lebanon,#3694BB,#3694BB,2,0.00014600831517354914
'Lebanon',en,Lebanon,#3694BB,#3694BB,2,0.00014600831517354914
'Libya',en,Libya,#B2C8F0,#B2C8F0,2,0.0001497327196088622
'Tripoli',en,Libya,#B2C8F0,#B2C8F0,2,0.0001497327196088622
